region_user,subclass,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,029 L6b CTX Glut,Avpr1b,439,0.0,0.0,33.0,31.0,64.0,28.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,032 L5 NP CTX Glut,Avpr1b,3409,0.0,0.0,37.0,34.0,71.0,34.0,-0.009783666580915451,3.0,subclass,Allen_WMB_10X_computed
AId,036 HPF CR Glut,Avpr1b,49,0.0,0.0,19.0,11.0,30.0,19.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,044 OB Dopa-Gaba,Avpr1b,46,0.0,0.0,22.0,14.0,36.0,21.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,046 Vip Gaba,Avpr1b,3706,0.0,0.0,39.0,37.0,76.0,37.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,047 Sncg Gaba,Avpr1b,1662,0.0,0.0,38.0,34.0,72.0,36.0,-0.009783666580915451,4.0,subclass,Allen_WMB_10X_computed
AId,049 Lamp5 Gaba,Avpr1b,3704,0.0,0.0,39.0,39.0,78.0,33.0,-0.009783666580915451,3.0,subclass,Allen_WMB_10X_computed
AId,050 Lamp5 Lhx6 Gaba,Avpr1b,370,0.0,0.0,33.0,26.0,59.0,31.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,051 Pvalb chandelier Gaba,Avpr1b,285,0.0,0.0,30.0,23.0,53.0,27.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,052 Pvalb Gaba,Avpr1b,3617,0.0,0.0,38.0,36.0,74.0,33.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,053 Sst Gaba,Avpr1b,5983,0.0,0.0,39.0,38.0,77.0,36.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,056 Sst Chodl Gaba,Avpr1b,360,0.0,0.0,37.0,33.0,70.0,33.0,-0.009783666580915451,9.0,subclass,Allen_WMB_10X_computed
AId,319 Astro-TE NN,Avpr1b,8535,0.0,0.0,39.0,35.0,74.0,39.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,327 Oligo NN,Avpr1b,2656,0.0,0.0,36.0,33.0,69.0,34.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,329 ABC NN,Avpr1b,38,0.0,0.0,16.0,8.0,24.0,16.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,330 VLMC NN,Avpr1b,291,0.0,0.0,28.0,15.0,43.0,28.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,331 Peri NN,Avpr1b,673,0.0,0.0,29.0,19.0,48.0,29.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,332 SMC NN,Avpr1b,333,0.0,0.0,25.0,21.0,46.0,25.0,-0.009783666580915451,2.0,subclass,Allen_WMB_10X_computed
AId,333 Endo NN,Avpr1b,2903,0.0,0.0,36.0,29.0,65.0,35.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,334 Microglia NN,Avpr1b,4610,0.0,0.0,38.0,31.0,69.0,37.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,335 BAM NN,Avpr1b,364,0.0,0.0,28.0,17.0,45.0,28.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,027 L6b EPd Glut,Cckbr,117,5.562251567840576,85.47008547008546,6.0,5.0,11.0,6.0,0.20364046096801758,5.0,subclass,Allen_WMB_10X_computed
AId,022 L5 ET CTX Glut,Cckbr,1134,5.358611106872559,84.03880070546738,7.0,6.0,13.0,7.0,-0.20364046096801758,8.0,subclass,Allen_WMB_10X_computed
AId,029 L6b CTX Glut,Cckbr,439,5.147767543792725,77.67653758542141,4.0,4.0,8.0,3.0,-0.41448402404785156,6.0,subclass,Allen_WMB_10X_computed
AId,007 L2/3 IT CTX Glut,Cckbr,7697,4.5158538818359375,70.78082369754449,7.0,7.0,14.0,7.0,-1.0463976860046387,15.0,subclass,Allen_WMB_10X_computed
AId,004 L6 IT CTX Glut,Cckbr,3372,4.485363006591797,70.34400948991696,9.0,8.0,17.0,8.0,-1.0768885612487793,13.0,subclass,Allen_WMB_10X_computed
