gene,best_subclass,best_subclass_pct,gap_vs_median_subclass_pp,n_subclasses_ge50,n_subclasses,best_anchor,best_anchor_pct,n_anchors_ge50,n_anchors,pct_all_cells
Arntl,013 COAp Grxcr2 Glut,90.0,37.1,45,75,006 L4/5 IT CTX Glut,78.3,14,20,50.1
Bhlhe41,113 MEA-COA-BMA Ccdc42 Glut,79.5,40.0,21,75,113 MEA-COA-BMA Ccdc42 Glut,79.5,5,20,38.9
Btg2,334 Microglia NN,95.7,76.0,7,75,007 L2/3 IT CTX Glut,46.2,0,20,27.5
Camk2b,013 COAp Grxcr2 Glut,100.0,1.7,63,75,012 MEA Slc17a7 Glut,99.7,20,20,75.4
Ccbe1,007 L2/3 IT CTX Glut,74.5,69.3,4,75,007 L2/3 IT CTX Glut,74.5,1,20,10.3
Cdh8,084 BST-SI-AAA Six3 Slc22a3 Gaba,98.7,33.0,48,75,073 MEA-BST Sox6 Gaba,89.7,16,20,50.1
Clock,058 PAL-STR Gaba-Chol,96.9,7.2,66,75,012 MEA Slc17a7 Glut,96.8,20,20,77.9
Creb1,058 PAL-STR Gaba-Chol,90.6,20.2,63,75,012 MEA Slc17a7 Glut,84.9,19,20,63.6
Cry1,013 COAp Grxcr2 Glut,63.3,41.8,1,75,012 MEA Slc17a7 Glut,36.6,0,20,20.7
Cry2,058 PAL-STR Gaba-Chol,90.6,15.5,61,75,006 L4/5 IT CTX Glut,89.3,19,20,65.4
Csf1r,334 Microglia NN,99.8,97.8,2,75,119 SI-MA-LPO-LHA Skor1 Glut,3.7,0,20,5.9
Dbp,062 STR D2 Gaba,57.8,22.5,6,75,113 MEA-COA-BMA Ccdc42 Glut,51.2,1,20,32.7
Ddc,079 CEA-BST Six3 Cyp26b1 Gaba,66.8,64.7,4,75,082 CEA-BST Ebf1 Pdyn Gaba,44.8,0,20,11.9
Ddx3y,133 PVH-SO-PVa Otp Glut,65.4,19.6,24,75,029 L6b CTX Glut,61.7,6,20,42.7
Egr2,013 COAp Grxcr2 Glut,61.7,60.8,1,75,006 L4/5 IT CTX Glut,25.7,0,20,6.1
Eif2s3y,012 MEA Slc17a7 Glut,57.8,18.2,12,75,012 MEA Slc17a7 Glut,57.8,3,20,38.1
Esr1,077 CEA-BST Gal Avp Gaba,92.8,79.3,12,75,121 MEA-BST Otp Zic2 Glut,79.4,4,20,16.0
Gphn,013 COAp Grxcr2 Glut,100.0,1.1,75,75,119 SI-MA-LPO-LHA Skor1 Glut,100.0,20,20,96.1
Gpr158,013 COAp Grxcr2 Glut,100.0,1.9,65,75,012 MEA Slc17a7 Glut,99.9,20,20,76.2
Gria3,013 COAp Grxcr2 Glut,100.0,6.6,61,75,022 L5 ET CTX Glut,100.0,19,20,74.8
Gria4,001 CLA-EPd-CTX Car3 Glut,100.0,1.0,67,75,032 L5 NP CTX Glut,99.9,20,20,81.2
Grin3a,026 NLOT Rho Glut,100.0,43.4,44,75,053 Sst Gaba,97.6,9,20,45.9
Grm2,006 L4/5 IT CTX Glut,70.6,59.0,2,75,006 L4/5 IT CTX Glut,70.6,2,20,18.0
Grm3,319 Astro-TE NN,98.8,43.0,46,75,006 L4/5 IT CTX Glut,97.9,16,20,66.3
Grm7,013 COAp Grxcr2 Glut,100.0,0.6,64,75,121 MEA-BST Otp Zic2 Glut,100.0,20,20,81.2
Hexb,334 Microglia NN,99.9,81.1,3,75,082 CEA-BST Ebf1 Pdyn Gaba,28.3,0,20,21.3
Ier2,334 Microglia NN,74.1,65.7,5,75,006 L4/5 IT CTX Glut,32.1,0,20,15.8
Jun,133 PVH-SO-PVa Otp Glut,97.8,54.8,26,75,012 MEA Slc17a7 Glut,65.8,2,20,46.4
Jund,026 NLOT Rho Glut,98.6,6.1,72,75,113 MEA-COA-BMA Ccdc42 Glut,96.7,20,20,84.9
Kdm5d,078 SI-MA-ACB Ebf1 Bnc2 Gaba,44.5,16.6,0,75,012 MEA Slc17a7 Glut,37.9,0,20,23.8
Lhx9,114 COAa-PAA-MEA Barhl2 Glut,79.1,78.5,4,75,012 MEA Slc17a7 Glut,69.2,1,20,4.3
Lrrtm2,026 NLOT Rho Glut,97.9,32.4,56,75,030 L6 CT CTX Glut,91.1,16,20,55.1
Nlgn1,012 MEA Slc17a7 Glut,100.0,0.1,69,75,007 L2/3 IT CTX Glut,100.0,20,20,93.0
Npas2,005 L5 IT CTX Glut,96.2,45.3,39,75,005 L5 IT CTX Glut,96.2,16,20,56.1
Nr1d1,006 L4/5 IT CTX Glut,53.1,27.1,2,75,006 L4/5 IT CTX Glut,53.1,1,20,30.4
Nr1d2,058 PAL-STR Gaba-Chol,88.1,21.9,57,75,120 MEA Otp Foxp2 Glut,82.9,18,20,55.9
Nrxn1,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,69,75,007 L2/3 IT CTX Glut,100.0,20,20,93.2
Nrxn3,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,69,75,022 L5 ET CTX Glut,100.0,20,20,89.2
Ntrk3,013 COAp Grxcr2 Glut,100.0,3.4,64,75,007 L2/3 IT CTX Glut,99.9,19,20,79.2
P2ry12,334 Microglia NN,99.6,81.4,2,75,113 MEA-COA-BMA Ccdc42 Glut,37.0,0,20,19.4
Pak1,013 COAp Grxcr2 Glut,100.0,4.8,63,75,029 L6b CTX Glut,100.0,20,20,79.8
Pcdh8,013 COAp Grxcr2 Glut,88.3,54.9,25,75,012 MEA Slc17a7 Glut,78.5,6,20,25.9
Pdgfrb,331 Peri NN,99.3,98.5,4,75,046 Vip Gaba,2.2,0,20,7.6
Per3,120 MEA Otp Foxp2 Glut,75.9,29.5,35,75,120 MEA Otp Foxp2 Glut,75.9,12,20,50.0
Rgs2,133 PVH-SO-PVa Otp Glut,95.6,34.2,47,75,082 CEA-BST Ebf1 Pdyn Gaba,92.0,13,20,44.8
Rgs5,331 Peri NN,99.7,97.9,3,75,032 L5 NP CTX Glut,21.0,0,20,6.0
Scg2,077 CEA-BST Gal Avp Gaba,99.5,21.6,59,75,074 MEA-BST Lhx6 Sp9 Gaba,97.5,19,20,57.6
Sgk1,026 NLOT Rho Glut,93.4,30.8,53,75,052 Pvalb Gaba,84.5,19,20,58.8
Shank3,013 COAp Grxcr2 Glut,86.7,25.3,48,75,012 MEA Slc17a7 Glut,81.1,12,20,46.3
Sik1,332 SMC NN,59.1,43.1,4,75,073 MEA-BST Sox6 Gaba,26.7,0,20,13.6
Slc1a2,001 CLA-EPd-CTX Car3 Glut,100.0,25.3,61,75,029 L6b CTX Glut,100.0,19,20,81.3
Slc30a3,013 COAp Grxcr2 Glut,100.0,95.7,12,75,006 L4/5 IT CTX Glut,84.7,7,20,20.5
Slc5a7,058 PAL-STR Gaba-Chol,88.8,88.3,1,75,046 Vip Gaba,41.4,0,20,3.2
Slc6a1,054 STR Prox1 Lhx6 Gaba,100.0,11.5,52,75,049 Lamp5 Gaba,100.0,12,20,59.6
Smoc2,001 CLA-EPd-CTX Car3 Glut,87.5,86.4,3,75,007 L2/3 IT CTX Glut,82.6,1,20,10.1
St8sia2,133 PVH-SO-PVa Otp Glut,72.8,64.6,1,75,113 MEA-COA-BMA Ccdc42 Glut,37.7,0,20,10.6
Sulf1,002 IT EP-CLA Glut,94.1,82.5,9,75,029 L6b CTX Glut,78.6,3,20,23.6
Syn1,013 COAp Grxcr2 Glut,100.0,2.2,66,75,005 L5 IT CTX Glut,99.7,20,20,76.6
Syngap1,013 COAp Grxcr2 Glut,81.7,34.5,32,75,012 MEA Slc17a7 Glut,70.3,13,20,40.8
Syp,001 CLA-EPd-CTX Car3 Glut,100.0,0.3,64,75,029 L6b CTX Glut,100.0,20,20,78.0
Syt1,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,66,75,007 L2/3 IT CTX Glut,100.0,20,20,82.7
Uty,133 PVH-SO-PVa Otp Glut,61.8,21.0,9,75,012 MEA Slc17a7 Glut,54.5,1,20,37.5
Vgf,026 NLOT Rho Glut,97.2,37.8,46,75,005 L5 IT CTX Glut,84.4,16,20,48.4
Vtn,331 Peri NN,98.5,98.1,2,75,030 L6 CT CTX Glut,0.8,0,20,1.6
Xist,039 OB Meis2 Thsd7b Gaba,66.2,24.9,8,75,121 MEA-BST Otp Zic2 Glut,51.2,1,20,38.8
Zbtb20,133 PVH-SO-PVa Otp Glut,100.0,11.3,61,75,120 MEA Otp Foxp2 Glut,98.6,10,20,69.5
Adamts17,050 Lamp5 Lhx6 Gaba,94.8,55.2,24,75,049 Lamp5 Gaba,83.7,7,20,31.3
Arhgap15,026 NLOT Rho Glut,89.9,81.5,11,75,005 L5 IT CTX Glut,86.9,5,20,24.5
Arhgap31,326 OPC NN,98.4,89.1,9,75,005 L5 IT CTX Glut,59.6,2,20,26.6
Crispld1,049 Lamp5 Gaba,79.5,75.3,2,75,049 Lamp5 Gaba,77.0,1,20,7.1
Crispld2,332 SMC NN,73.0,72.5,2,75,046 Vip Gaba,16.7,0,20,2.1
Dio3,037 DG Glut,38.5,38.1,0,75,012 MEA Slc17a7 Glut,30.8,0,20,3.5
Dipk2a,026 NLOT Rho Glut,86.0,54.6,16,75,022 L5 ET CTX Glut,71.1,5,20,27.7
Elfn1,058 PAL-STR Gaba-Chol,91.9,70.1,16,75,053 Sst Gaba,84.1,2,20,20.7
Fbn2,026 NLOT Rho Glut,84.3,75.4,5,75,074 MEA-BST Lhx6 Sp9 Gaba,33.7,0,20,14.5
Glra3,113 MEA-COA-BMA Ccdc42 Glut,96.1,68.0,31,75,113 MEA-COA-BMA Ccdc42 Glut,96.1,9,20,34.1
Gm10754,083 CEA-BST Rai14 Pdyn Crh Gaba,90.2,82.8,8,75,022 L5 ET CTX Glut,63.9,1,20,12.9
Gpr149,063 STR D1 Sema5a Gaba,81.3,77.6,3,75,119 SI-MA-LPO-LHA Skor1 Glut,66.0,1,20,6.3
Gpx3,133 PVH-SO-PVa Otp Glut,95.6,77.9,16,75,113 MEA-COA-BMA Ccdc42 Glut,81.3,6,20,22.4
Hhip,327 Oligo NN,77.5,76.6,1,75,073 MEA-BST Sox6 Gaba,4.4,0,20,7.4
Hpse,053 Sst Gaba,10.8,10.7,0,75,053 Sst Gaba,11.1,0,20,0.7
Hs3st1,013 COAp Grxcr2 Glut,70.0,55.4,4,75,052 Pvalb Gaba,45.9,0,20,14.2
Lin7a,026 NLOT Rho Glut,99.7,19.1,54,75,006 L4/5 IT CTX Glut,92.3,16,20,55.3
Luzp2,326 OPC NN,99.9,37.8,46,75,121 MEA-BST Otp Zic2 Glut,95.5,14,20,53.1
Lypd1,026 NLOT Rho Glut,100.0,57.5,30,75,032 L5 NP CTX Glut,99.1,8,20,36.7
Maml2,326 OPC NN,99.2,59.9,26,75,012 MEA Slc17a7 Glut,68.3,2,20,47.0
Marcks,013 COAp Grxcr2 Glut,100.0,2.2,70,75,113 MEA-COA-BMA Ccdc42 Glut,99.8,19,20,86.5
Masp1,056 Sst Chodl Gaba,74.7,71.5,3,75,053 Sst Gaba,63.3,1,20,12.3
Meis1,114 COAa-PAA-MEA Barhl2 Glut,80.1,68.9,8,75,082 CEA-BST Ebf1 Pdyn Gaba,32.8,0,20,19.8
Minar1,058 PAL-STR Gaba-Chol,65.6,56.4,5,75,053 Sst Gaba,56.9,1,20,9.7
Mybpc1,052 Pvalb Gaba,20.9,20.6,0,75,052 Pvalb Gaba,21.3,0,20,0.9
Myo1b,331 Peri NN,96.3,63.2,21,75,113 MEA-COA-BMA Ccdc42 Glut,65.4,5,20,26.6
Nbl1,331 Peri NN,88.5,83.5,9,75,007 L2/3 IT CTX Glut,58.2,3,20,19.9
Nckap5,326 OPC NN,98.4,60.0,27,75,012 MEA Slc17a7 Glut,76.8,7,20,45.5
Neto1,013 COAp Grxcr2 Glut,100.0,20.2,56,75,053 Sst Gaba,98.5,18,20,65.6
Pde1b,061 STR D1 Gaba,98.0,38.0,47,75,012 MEA Slc17a7 Glut,77.9,14,20,44.4
Pde1c,061 STR D1 Gaba,92.5,69.1,14,75,121 MEA-BST Otp Zic2 Glut,59.0,1,20,26.2
Piezo2,119 SI-MA-LPO-LHA Skor1 Glut,20.2,18.9,0,75,119 SI-MA-LPO-LHA Skor1 Glut,20.2,0,20,2.5
Plce1,331 Peri NN,96.3,87.2,12,75,120 MEA Otp Foxp2 Glut,53.1,3,20,25.5
Plcl1,331 Peri NN,99.0,39.3,50,75,006 L4/5 IT CTX Glut,86.3,14,20,59.8
Plpp4,133 PVH-SO-PVa Otp Glut,91.2,80.5,6,75,119 SI-MA-LPO-LHA Skor1 Glut,49.6,0,20,14.7
Pvt1,133 PVH-SO-PVa Otp Glut,95.6,32.1,48,75,049 Lamp5 Gaba,93.1,17,20,53.2
Rprml,026 NLOT Rho Glut,98.6,55.1,35,75,006 L4/5 IT CTX Glut,95.4,15,20,54.2
Rspo3,010 IT AON-TT-DP Glut,82.8,74.4,9,75,022 L5 ET CTX Glut,69.4,3,20,19.0
Spon1,326 OPC NN,96.8,56.9,26,75,120 MEA Otp Foxp2 Glut,95.7,9,20,49.9
Stac,026 NLOT Rho Glut,72.7,66.0,9,75,120 MEA Otp Foxp2 Glut,49.7,0,20,8.7
Tafa1,022 L5 ET CTX Glut,97.8,79.3,24,75,022 L5 ET CTX Glut,97.8,9,20,37.5
Trhde,001 CLA-EPd-CTX Car3 Glut,100.0,52.0,37,75,053 Sst Gaba,97.6,14,20,41.0
Trpc3,331 Peri NN,89.0,70.7,11,75,032 L5 NP CTX Glut,81.7,2,20,17.8
Trpm3,013 COAp Grxcr2 Glut,100.0,32.5,49,75,120 MEA Otp Foxp2 Glut,98.8,12,20,59.1
Vegfc,048 RHP-COA Ndnf Gaba,51.4,45.8,1,75,022 L5 ET CTX Glut,39.6,0,20,8.2
Zfp804b,051 Pvalb chandelier Gaba,100.0,41.7,43,75,113 MEA-COA-BMA Ccdc42 Glut,89.3,13,20,44.0
Arid3b,026 NLOT Rho Glut,43.4,27.1,0,75,005 L5 IT CTX Glut,28.7,0,20,16.2
Bbx,079 CEA-BST Six3 Cyp26b1 Gaba,94.8,24.0,55,75,082 CEA-BST Ebf1 Pdyn Gaba,86.9,13,20,55.6
Bcl6,022 L5 ET CTX Glut,72.1,47.6,11,75,022 L5 ET CTX Glut,72.1,3,20,30.2
Clk1,133 PVH-SO-PVa Otp Glut,89.0,13.9,71,75,012 MEA Slc17a7 Glut,85.4,20,20,71.3
Dmc1,121 MEA-BST Otp Zic2 Glut,22.2,11.0,0,75,121 MEA-BST Otp Zic2 Glut,22.2,0,20,9.7
Dusp22,058 PAL-STR Gaba-Chol,84.4,30.7,44,75,120 MEA Otp Foxp2 Glut,67.1,14,20,45.4
Hes1,332 SMC NN,79.9,75.6,6,75,004 L6 IT CTX Glut,44.2,0,20,19.9
Hnrnpll,029 L6b CTX Glut,87.5,18.7,57,75,029 L6b CTX Glut,87.5,19,20,59.2
Irf9,333 Endo NN,40.4,27.7,0,75,113 MEA-COA-BMA Ccdc42 Glut,21.2,0,20,12.2
Kdm7a,013 COAp Grxcr2 Glut,98.3,25.2,62,75,012 MEA Slc17a7 Glut,88.8,19,20,64.9
Nuak1,006 L4/5 IT CTX Glut,95.2,45.1,39,75,006 L4/5 IT CTX Glut,95.2,15,20,52.3
Odc1,013 COAp Grxcr2 Glut,88.3,33.2,48,75,120 MEA Otp Foxp2 Glut,74.2,16,20,46.0
Osgin2,059 GPe-SI Sox6 Cyp26b1 Gaba,33.9,15.0,0,75,012 MEA Slc17a7 Glut,26.0,0,20,18.4
Pparg,013 COAp Grxcr2 Glut,75.0,70.0,4,75,006 L4/5 IT CTX Glut,56.7,3,20,13.4
Prox2,026 NLOT Rho Glut,11.5,7.7,0,75,012 MEA Slc17a7 Glut,6.4,0,20,4.3
Rapgef2,010 IT AON-TT-DP Glut,99.4,5.3,73,75,012 MEA Slc17a7 Glut,98.7,20,20,84.5
Rbm3,058 PAL-STR Gaba-Chol,88.1,27.4,53,75,012 MEA Slc17a7 Glut,74.6,18,20,51.4
Rel,334 Microglia NN,73.5,61.8,1,75,005 L5 IT CTX Glut,22.5,0,20,14.7
Zdhhc5,058 PAL-STR Gaba-Chol,83.1,40.4,24,75,119 SI-MA-LPO-LHA Skor1 Glut,60.2,5,20,37.8
Zfp286,085 SI-MPO-LPO Lhx8 Gaba,51.5,17.5,1,75,022 L5 ET CTX Glut,47.6,0,20,28.7
Zfp414,058 PAL-STR Gaba-Chol,58.8,24.9,1,75,121 MEA-BST Otp Zic2 Glut,40.5,0,20,27.5
Zfp867,058 PAL-STR Gaba-Chol,25.6,14.9,0,75,119 SI-MA-LPO-LHA Skor1 Glut,16.2,0,20,9.7
Zfp938,026 NLOT Rho Glut,68.9,28.6,10,75,120 MEA Otp Foxp2 Glut,49.6,0,20,32.9
Zfp941,085 SI-MPO-LPO Lhx8 Gaba,91.5,31.8,45,75,113 MEA-COA-BMA Ccdc42 Glut,87.2,13,20,42.6
Zmiz1,026 NLOT Rho Glut,99.3,15.9,67,75,029 L6b CTX Glut,93.6,17,20,78.9
