gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Cabp7,058 PAL-STR Gaba-Chol,64.4,3.42,119 SI-MA-LPO-LHA Skor1 Glut,36.6,2.1,2,usable in its own population
Cacna2d2,058 PAL-STR Gaba-Chol,100.0,8.27,120 MEA Otp Foxp2 Glut,94.6,6.97,43,strong in its own population
Calb1,013 COAp Grxcr2 Glut,100.0,8.31,007 L2/3 IT CTX Glut,94.7,7.41,31,strong in its own population
Calb2,042 OB-out Frmd7 Gaba,96.8,10.74,120 MEA Otp Foxp2 Glut,91.2,6.92,18,strong in its own population
Calcrl,326 OPC NN,87.0,7.15,120 MEA Otp Foxp2 Glut,68.1,4.43,5,strong in its own population
Camk2a,002 IT EP-CLA Glut,100.0,9.51,022 L5 ET CTX Glut,100.0,9.5,61,strong in its own population
Camk2g,077 CEA-BST Gal Avp Gaba,99.0,6.86,120 MEA Otp Foxp2 Glut,97.5,7.51,63,strong in its own population
Car4,333 Endo NN,71.8,6.46,049 Lamp5 Gaba,57.7,3.97,5,strong in its own population
Carmn,332 SMC NN,87.5,7.48,005 L5 IT CTX Glut,0.6,0.03,2,strong in its own population
Cartpt,076 MEA-BST Lhx6 Nfib Gaba,70.0,6.4,052 Pvalb Gaba,54.2,3.94,3,usable in its own population
Cbln1,121 MEA-BST Otp Zic2 Glut,65.9,4.91,121 MEA-BST Otp Zic2 Glut,65.9,4.91,2,usable in its own population
Cbln2,077 CEA-BST Gal Avp Gaba,100.0,9.74,032 L5 NP CTX Glut,89.2,7.07,14,strong in its own population
Cbln4,059 GPe-SI Sox6 Cyp26b1 Gaba,91.4,6.35,005 L5 IT CTX Glut,57.9,4.06,6,strong in its own population
Ccdc42,113 MEA-COA-BMA Ccdc42 Glut,48.0,2.73,113 MEA-COA-BMA Ccdc42 Glut,48.0,2.73,0,high level in a minority of cells (sparse but real)
Cck,002 IT EP-CLA Glut,100.0,9.92,005 L5 IT CTX Glut,100.0,10.07,23,strong in its own population
Cckbr,013 COAp Grxcr2 Glut,91.7,6.44,022 L5 ET CTX Glut,74.2,4.78,13,strong in its own population
