region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Nfib,38,0.4114,7.89,False,False,-10.0577,10.4691,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nfix,38,1.1333,21.05,False,False,-8.267,9.4003,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nkx2-1,38,0.0,0.0,False,False,-5.992,5.992,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nlgn1,38,12.085,100.0,False,False,-0.2408,12.3258,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nlgn2,38,5.0588,81.58,False,False,-1.3444,6.4032,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nnat,38,5.0537,73.68,False,False,-4.7051,9.7588,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nos1,38,0.2697,5.26,False,False,-9.4979,9.7676,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Npas4,38,0.827,15.79,False,False,-1.7676,2.5946,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Npnt,38,5.1831,78.95,False,False,1.8017,3.3814,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Npr3,38,0.1183,2.63,False,False,-3.3809,3.4992,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nptx2,38,2.5645,44.74,False,False,-5.083,7.6475,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Npy,38,0.4435,7.89,False,False,-8.2261,8.6696,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nr2e1,38,0.0,0.0,False,False,-5.6575,5.6575,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nr4a1,38,4.4796,73.68,False,False,-0.7146,5.1942,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nr4a2,38,0.1144,2.63,False,False,-4.9112,5.0256,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nr4a3,38,0.6209,10.53,False,False,-5.5194,6.1403,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nrgn,38,10.0618,100.0,False,False,-0.5542,10.616,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nrxn1,38,11.7405,100.0,False,False,-0.3235,12.064,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nrxn3,38,10.4268,100.0,False,False,-3.3268,13.7536,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ntrk2,38,8.7545,100.0,False,False,-1.7271,10.4816,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nts,38,0.3017,5.26,False,False,-3.3727,3.6744,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ntsr1,38,0.5446,10.53,False,False,-3.7273,4.2719,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nxph1,38,0.405,7.89,False,False,-11.4793,11.8843,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nxph4,38,0.1122,2.63,False,False,-6.7343,6.8465,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Oprd1,38,0.2492,5.26,False,False,-5.288,5.5372,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Oprk1,38,0.0,0.0,False,False,-5.1732,5.1732,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Oprl1,38,1.4529,26.32,False,False,-3.6174,5.0703,,,False
